"id","title","description","link","image link","condition","availability","price","brand","google product category"
"743","iPhone 6 Quốc Tế Hàng Trưng Bày","iphone 6 quốc tế hàng trưng bày giá tốt nhất","http://www.vietanhmobile.com/iphone-6-quoc-te-hang-trung-bay.html","http://www.vietanhmobile.com/hinh-anh/san-pham/iphone-6-quoc-te-likenew-99-slide-1.jpg","new","in stock","4390000 VND","Iphone 6",""
"237","Tay cầm chơi game Xiaomi","tay cầm chơi game xiaomi","http://www.vietanhmobile.com/tay-cam-choi-game-xiaomi.html","http://www.vietanhmobile.com/hinh-anh/san-pham/tay-choi-game-xiaomi-side-1.jpg","new","out of stock","699000 VND","Phụ Kiện Xiaomi",""
"238","LOA BLUETOOTH XIAOMI SQUARE BOX","loa bluetooth xiaomi square box","http://www.vietanhmobile.com/loa-bluetooth-xiaomi-square-box.html","http://www.vietanhmobile.com/hinh-anh/san-pham/LOA-BLUETOOTH-XIAOMI-SQUARE-BOX-side-1.jpg","new","out of stock","699000 VND","Phụ Kiện Xiaomi",""
"239","CAMERA YI IP THÔNG MINH HD720 (NIGHT)","camera yi ip thông minh hd720 (night)","http://www.vietanhmobile.com/camera-yi-ip-thong-minh-hd720-night.html","http://www.vietanhmobile.com/hinh-anh/san-pham/CAMERA-YI-IP-THÔNG-MINH-HD720-side-1.jpg","new","out of stock","799000 VND","Phụ Kiện Xiaomi",""
"776","Samsung S7 Edge Quốc Tế Bản Nhật Hàng Mới 100%","samsung s7 edge quốc tế bản nhật hàng mới 100%","http://www.vietanhmobile.com/samsung-s7-edge-quoc-te-ban-nhat-hang-moi-100.html","http://www.vietanhmobile.com/hinh-anh/san-pham/samsung-s7-edge-quoc-te-nhat-hang-moi-100-slide-1.jpg","new","in stock","9990000 VND","Samsung S7 Edge",""
"906","iPhone 8 Quốc Tế Hàng Trưng Bày","iphone 8 quốc tế hàng trưng bày","http://www.vietanhmobile.com/iphone-8-quoc-te-hang-trung-bay.html","http://www.vietanhmobile.com/hinh-anh/san-pham/iphone-8-quoc-te-99-slide-1.jpg","new","out of stock","12790000 VND","Iphone 8",""
"761","iPhone SE Quốc Tế Chưa Active","iphone se quốc tế chưa active giá tốt nhất TPHCM","http://www.vietanhmobile.com/iphone-se-quoc-te-chua-active.html","http://www.vietanhmobile.com/hinh-anh/san-pham/iphone-se-quoc-te-chua-active-100-slide-1.jpg","new","in stock","6890000 VND","iPhone SE",""
"759","iPhone SE Quốc Tế Hàng Trưng Bày","iphone se quốc tế hàng trưng bày giá tốt nhất","http://www.vietanhmobile.com/iphone-se-quoc-te-hang-trung-bay.html","http://www.vietanhmobile.com/hinh-anh/san-pham/iphone-se-quoc-te-likenew-99-slide-1.jpg","new","in stock","3890000 VND","iPhone SE",""
"494","SamSung Galaxy S6 Edge 64GB Màu Trắng Quốc Tế Mỹ Hàng Trưng Bày","samsung galaxy s6 edge 64gb màu trắng quốc tế mỹ qsd 99%","http://www.vietanhmobile.com/samsung-galaxy-s6-edge-64gb-mau-trang-quoc-te-my-qsd-99.html","http://www.vietanhmobile.com/hinh-anh/san-pham/samsung-galaxy-s6-edge-64gb-white-world-99-slide-1.jpg","new","in stock","9290000 VND","Samsung S6 Edge",""
"329","iPad 3 16GB + 3G Đen/Trắng Hàng Trưng Bày","ipad 3 16gb + 3g đen/trắng qsd 99%","http://www.vietanhmobile.com/ipad-3-16gb-3g-den-trang-qsd-99.html","http://www.vietanhmobile.com/hinh-anh/san-pham/ipad-3-16g-3g-black-white-99.jpg","new","out of stock","5490000 VND","iPad 3",""
"753","iPhone 6 Plus Quốc Tế Đã Active Mới 100%","iphone 6 plus quốc tế đã active mới 100% giá tốt","http://www.vietanhmobile.com/iphone-6-plus-quoc-te-da-active-moi-100.html","http://www.vietanhmobile.com/hinh-anh/san-pham/iphone-6-plus-quoc-te-actived-100-slide-1.jpg","new","in stock","8390000 VND","Iphone 6 Plus",""
"316","Tai nghe Bluetooth Mactrix Revo Clip","tai nghe bluetooth mactrix revo clip","http://www.vietanhmobile.com/tai-nghe-bluetooth-mactrix-revo-clip.html","http://www.vietanhmobile.com/hinh-anh/san-pham/tai-nghe-bluetooth-mactrix-chinh-hang-side-1.jpg","new","out of stock","790000 VND","Loa - Tai Nghe Bluetooth",""
"317","Tai nghe Bluetooth Mactrix Revo Sound","tai nghe bluetooth mactrix revo sound","http://www.vietanhmobile.com/tai-nghe-bluetooth-mactrix-revo-sound.html","http://www.vietanhmobile.com/hinh-anh/san-pham/tai-nghe-bluetooth-mactrix-revo-sound-side-1.jpg","new","out of stock","390000 VND","Loa - Tai Nghe Bluetooth",""
"912","Samsung S9 Plus Công Ty Hàng Mới 100%","samsung s9 plus công ty hàng mới 100%","http://www.vietanhmobile.com/samsung-s9-plus-cong-ty-hang-moi-100.html","http://www.vietanhmobile.com/hinh-anh/san-pham/samsung-galaxy-s9-plus-cong-ty-100-main.jpg","new","out of stock","18990000 VND","Samsung S9 Plus",""
"911","Samsung S9 Công Ty Hàng Mới 100%","samsung s9 công ty hàng mới 100%","http://www.vietanhmobile.com/samsung-s9-cong-ty-hang-moi-100-911.html","http://www.vietanhmobile.com/hinh-anh/san-pham/samsung-galaxy-s9-cong-ty-100-slide-1-h1911.jpg","new","out of stock","14990000 VND","Samsung S9",""
"322","Pin dự phòng Romoss Polymos 5","pin dự phòng romoss polymos 5","http://www.vietanhmobile.com/pin-du-phong-romoss-polymos-5.html","http://www.vietanhmobile.com/hinh-anh/san-pham/pin-du-phong-romoss-polymos-5-side-1.jpg","new","out of stock","350000 VND","Pin Dự Phòng",""
"336","iPad mini 1 32GB + 3G Đen/Trắng Hàng Trưng Bày","ipad mini 1 32gb + 3g đen/trắng qsd 99%","http://www.vietanhmobile.com/ipad-mini-1-32gb-3g-den-trang-qsd-99.html","http://www.vietanhmobile.com/hinh-anh/san-pham/ipad-mini-1-32Gb-black-white-99-main.jpg","new","out of stock","5490000 VND","iPad Mini 1",""
"766","iPhone 7 Plus Quốc Tế Hàng Trưng Bày","iphone 7 plus quốc tế hàng trưng bày","http://www.vietanhmobile.com/iphone-7-plus-quoc-te-hang-trung-bay.html","http://www.vietanhmobile.com/hinh-anh/san-pham/iphone-7-plus-quoc-te-likenew-99-slide-1.jpg","new","in stock","11590000 VND","Iphone 7 Plus",""
"411","SamSung Galaxy S4 32GB Màu Đen Quốc Tế Nhật Hàng Trưng Bày","Samsung galaxy s4 32gb màu đen quốc tế nhật qsd 99%","http://www.vietanhmobile.com/samsung-galaxy-s4-32gb-mau-den-quoc-te-nhat-qsd-99.html","http://www.vietanhmobile.com/hinh-anh/san-pham/samsung-galaxy-s4-japan-world-32gb-99-slide-1.jpg","new","in stock","2590000 VND","Samsung S4",""
"474","SamSung Galaxy S4 32GB Màu Trắng Quốc Tế Nhật Hàng Trưng Bày","samsung galaxy s4 32gb màu trắng quốc tế nhật qsd 99%","http://www.vietanhmobile.com/samsung-galaxy-s4-32gb-mau-trang-quoc-te-nhat-qsd-99.html","http://www.vietanhmobile.com/hinh-anh/san-pham/samsung-galaxy-s4-japan-world-32gb-white-99-slide-1.jpg","new","in stock","2690000 VND","Samsung S4",""
